Time(s),Total Energy(J)
100000.0,-6.065194731943151e+33
200000.0,-6.065194590405951e+33
300000.0,-6.06519416625133e+33
400000.0,-6.065193461588002e+33
500000.0,-6.065192479945213e+33
600000.0,-6.065191226291151e+33
700000.0,-6.065189707055088e+33
800000.0,-6.06518793015146e+33
900000.0,-6.065185905004686e+33
1000000.0,-6.065183642573532e+33
1100000.0,-6.065181155373708e+33
1200000.0,-6.065178457496826e+33
1300000.0,-6.065175564623563e+33
1400000.0,-6.065172494028417e+33
1500000.0,-6.065169264573224e+33
1600000.0,-6.065165896686549e+33
1700000.0,-6.065162412325936e+33
1800000.0,-6.065158834920239e+33
1900000.0,-6.065155189289157e+33
2000000.0,-6.065151501537661e+33
2100000.0,-6.065147798923205e+33
2200000.0,-6.065144109694177e+33
2300000.0,-6.065140462898783e+33
2400000.0,-6.065136888164161e+33
2500000.0,-6.065133415446658e+33
2600000.0,-6.06513007475494e+33
2700000.0,-6.0651268958488e+33
2800000.0,-6.065123907917621e+33
2900000.0,-6.06512113924342e+33
3000000.0,-6.065118616854452e+33
3100000.0,-6.06511636617616e+33
3200000.0,-6.065114410687015e+33
3300000.0,-6.065112771587103e+33
3400000.0,-6.065111467487774e+33
3500000.0,-6.065110514130111e+33
3600000.0,-6.065109924140015e+33
3700000.0,-6.065109706826544e+33
3800000.0,-6.065109868029419e+33
3900000.0,-6.065110410019996e+33
4000000.0,-6.065111331458731e+33
4100000.0,-6.065112627410379e+33
4200000.0,-6.0651142894165e+33
4300000.0,-6.065116305623096e+33
4400000.0,-6.065118660959747e+33
4500000.0,-6.06512133736493e+33
4600000.0,-6.06512431405142e+33
4700000.0,-6.06512756780434e+33
4800000.0,-6.065131073304088e+33
4900000.0,-6.065134803466078e+33
5000000.0,-6.065138729789178e+33
5100000.0,-6.065142822705066e+33
5200000.0,-6.065147051921419e+33
5300000.0,-6.065151386752445e+33
5400000.0,-6.065155796431331e+33
5500000.0,-6.065160250400197e+33
5600000.0,-6.065164718574123e+33
5700000.0,-6.065169171577055e+33
5800000.0,-6.06517358094819e+33
5900000.0,-6.065177919318659e+33
6000000.0,-6.065182160558874e+33
6100000.0,-6.065186279897879e+33
6200000.0,-6.065190254016452e+33
6300000.0,-6.065194061116246e+33
6400000.0,-6.065197680967566e+33
6500000.0,-6.065201094938534e+33
6600000.0,-6.065204286008682e+33
6700000.0,-6.065207238769627e+33
6800000.0,-6.065209939415914e+33
6900000.0,-6.065212375728605e+33
7000000.0,-6.065214537054085e+33
7100000.0,-6.065216414280482e+33
7200000.0,-6.065217999813649e+33
7300000.0,-6.065219287554475e+33
7400000.0,-6.065220272879068e+33
7500000.0,-6.065220952622865e+33
7600000.0,-6.065221325069759e+33
7700000.0,-6.065221389946568e+33
7800000.0,-6.06522114842341e+33
7900000.0,-6.065220603119782e+33
8000000.0,-6.065219758116133e+33
